,Area,BHK,Bathroom,Furnishing,Locality,Price,Transaction,Type,Per_Sqft
0,800.0,3,2.0,Semi-Furnished,Other,6500000.0,New_Property,Builder_Floor,11291.5
1,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000.0,New_Property,Apartment,6667.0
2,950.0,2,2.0,Furnished,Other,15500000.0,Resale,Apartment,6667.0
3,600.0,2,2.0,Semi-Furnished,Rohini Sector 24,4200000.0,Resale,Builder_Floor,6667.0
4,650.0,2,2.0,Semi-Furnished,Rohini Sector 24,6200000.0,New_Property,Builder_Floor,6667.0
5,1300.0,4,3.0,Semi-Furnished,Rohini Sector 24,15500000.0,New_Property,Builder_Floor,6667.0
6,1350.0,4,3.0,Semi-Furnished,Rohini Sector 24,10000000.0,Resale,Builder_Floor,6667.0
7,650.0,2,2.0,Semi-Furnished,Other,4000000.0,New_Property,Apartment,6154.0
8,985.0,3,3.0,Unfurnished,Other,6800000.0,New_Property,Builder_Floor,6154.0
9,1300.0,4,4.0,Semi-Furnished,Other,15000000.0,New_Property,Builder_Floor,6154.0
10,1100.0,3,2.0,Semi-Furnished,Other,6200000.0,New_Property,Builder_Floor,6154.0
11,870.0,3,2.0,Semi-Furnished,Other,7700000.0,New_Property,Builder_Floor,6154.0
12,630.0,2,2.0,Semi-Furnished,Rohini Sector 24,5500000.0,New_Property,Builder_Floor,6154.0
13,660.0,2,2.0,Semi-Furnished,Rohini Sector 24,5000000.0,Resale,Builder_Floor,6154.0
15,660.0,2,2.0,Semi-Furnished,Other,4700000.0,New_Property,Builder_Floor,6154.0
16,550.0,2,2.0,Semi-Furnished,Other,4500000.0,New_Property,Builder_Floor,6154.0
17,1100.0,4,3.0,Semi-Furnished,Other,17000000.0,New_Property,Builder_Floor,6154.0
18,1150.0,3,3.0,Semi-Furnished,Other,25000000.0,Resale,Apartment,6154.0
19,650.0,2,2.0,Semi-Furnished,Rohini Sector 24,6000000.0,Resale,Builder_Floor,6154.0
20,850.0,2,2.0,Semi-Furnished,Other,11000000.0,Resale,Apartment,6154.0
21,900.0,3,2.0,Semi-Furnished,Other,4500000.0,Resale,Builder_Floor,6154.0
22,430.556,1,1.0,Furnished,Other,5300000.0,Resale,Apartment,6154.0
23,900.0,2,2.0,Semi-Furnished,Other,10500000.0,Resale,Apartment,6154.0
24,914.9315,2,2.0,Semi-Furnished,Other,12000000.0,Resale,Builder_Floor,6154.0
25,1100.0,3,3.0,Furnished,Other,7000000.0,New_Property,Builder_Floor,6364.0
26,800.0,3,2.0,Semi-Furnished,Other,7000000.0,Resale,Builder_Floor,8750.0
27,500.0,1,1.0,Semi-Furnished,Other,3400000.0,Resale,Apartment,8750.0
29,2160.0,4,4.0,Furnished,Other,21000000.0,New_Property,Builder_Floor,9722.0
30,1500.0,1,2.0,Unfurnished,Lajpat Nagar 2,13500000.0,Resale,Apartment,11291.5
31,800.0,2,2.0,Unfurnished,Other,15000000.0,New_Property,Builder_Floor,11291.5
32,900.0,2,2.0,Unfurnished,Other,10500000.0,New_Property,Builder_Floor,11291.5
33,1080.0,3,2.0,Semi-Furnished,Other,22500000.0,New_Property,Builder_Floor,11291.5
34,750.0,2,2.0,Unfurnished,Other,13600000.0,New_Property,Builder_Floor,11291.5
35,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,30000000.0,New_Property,Builder_Floor,11291.5
36,900.0,2,2.0,Semi-Furnished,Other,13500000.0,New_Property,Apartment,11291.5
